,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week,
1157,20200109,IC2001,5432.6,5477.6,5501,5449.2,5498,5482.4,68051,7456651.888,65788,2.307284086,0,0,
1158,20200110,IC2001,5482.4,5514.8,5526,5446,5468,5477.4,65874,7216824.68,65628,2.307284086,0,0,
1159,20200113,IC2001,5477.4,5471.8,5573.6,5436,5571.2,5545.2,73020,8041664.552,62437,2.307284086,0,1,
1160,20200114,IC2001,5545.2,5589.8,5594.6,5537,5543.6,5554,55225,6148786.676,50736,2.307284086,0,1,
1161,20200115,IC2001,5554,5533,5548.8,5489.4,5523.6,5534.8,54143,5979435.716,41144,2.307284086,0,1,
1162,20200116,IC2001,5534.8,5531.8,5558,5514.8,5538.4,5532.6,39505,4375234.296,19555,2.307284086,0,1,
1163,20200117,IC2002,5526.4,5547,5561,5486.4,5501.2,5516.2,63767,7044804.06,64853,2.309872599,1,1,
1164,20200120,IC2002,5516.2,5517,5600,5493,5598.8,5588.8,60036,6667890.82,61593,2.309872599,0,0,
1165,20200121,IC2002,5588.8,5572.2,5582.4,5495.4,5516.6,5523.6,68137,7541127.552,65434,2.309872599,0,0,
1166,20200122,IC2002,5523.6,5495,5608,5421,5580.8,5584.8,77377,8525093.392,67685,2.309872599,0,0,
1167,20200123,IC2002,5584.8,5510,5546.4,5299.8,5346.4,5339.2,91119,9894677.668,69629,2.309872599,0,0,
1168,20200203,IC2002,5339.2,4805.4,4922,4805.4,4805.4,4805.4,49162,4769085.584,57416,2.309872599,0,0,
1169,20200204,IC2002,4805.4,4900,4999,4820,4953,4965.2,79308,7822642.512,68523,2.309872599,0,0,
1170,20200205,IC2002,4965.2,4988.8,5139,4986,5064.4,5062,83573,8475855.168,63709,2.309872599,0,0,
1171,20200206,IC2002,5062,5075,5279.2,5048.6,5250.4,5242.6,89274,9246604.76,69925,2.309872599,0,0,
1172,20200207,IC2002,5242.6,5228.4,5303.6,5200,5300.4,5276.6,83767,8786831.728,66379,2.309872599,0,0,
1173,20200210,IC2002,5276.6,5271,5337.8,5256,5326.4,5320.4,74190,7866706.448,66762,2.309872599,0,0,
